variable_family,variable_raw,variable_harmonized,analytic_variable_recommended,role_in_analysis,evidence_source,evidence_level,decision_status,final_rule,unresolved_issue,recommended_proxy,downstream_use,notes
base_diagnostico,BASE #7,base_diagnostico,basis_of_diagnosis_code_local,quality_indicator_core,Base del Diagnostico RCBPA.docx | captura local | RCBPA 2008-2014,documentary_direct_local,closed,Conservar codigo local 0-10; no recodificar raw.,none,none,quality+incidence,Usar ademas variable agrupada derivada.
base_diagnostico,BASE #7,base_diagnostico,basis_of_diagnosis_group,quality_indicator_core,Base del Diagnostico RCBPA.docx | captura local,documentary_direct_local,closed,"Agrupar: dco(0), non_microscopic(1-5), mv(6-8), autopsy(9), unknown(10).",none,basis_of_diagnosis_code_local,quality+incidence,MV candidate = 6/7/8; DCO candidate = 0.
estado_vital,ESTVIT,estado_vital,vital_status_code_local,follow_up_core,03_semantic_dictionary_building.R | semantic outputs,empirical_plus_internal,almost_closed,"Conservar codigo raw; mapear 1=vivo, 2=fallecido; otros=unknown_or_unresolved.",Validar consistencia con FECDEF/FUC,none,mortality+quality,No eliminar raw.
estado_vital,ESTVIT,estado_vital,vital_status_analytic,follow_up_core,03_semantic_dictionary_building.R,empirical_plus_internal,almost_closed,alive/dead/unknown_or_unresolved.,Valores 5/9 y textos raros,vital_status_code_local,mortality+quality,Crear flag_vital_inconsistency.
lateralidad,LATE 19,lateralidad,laterality_code_local,secondary_site_specific,03_semantic_dictionary_building.R,empirical_only,partial,Conservar codigo raw 0/1/2/3/4/9.,Semantica local de 0,none,quality_only,No usar para exclusion.
lateralidad,LATE 19,lateralidad,laterality_analytic,secondary_site_specific,03_semantic_dictionary_building.R,empirical_only,partial,"1=right,2=left,3=bilateral,4=other_or_not_stated,9=unknown_or_not_applicable,0=unresolved_local.",Codigo 0 pendiente de decision humana,laterality_code_local,quality_only,Usar solo en analisis por sitios donde aplique.
residencia,PROVDIST,residencia__provdist,residence_province_candidate,incidence_core,RCBPA 2008-2014 | pipeline harmonization,documentary_historical_plus_internal,derived,Prioridad 1 en algoritmo jerarquico de residencia.,Parser exacto local pendiente,none,incidence+quality,No colapsar en esta columna.
residencia,RES,residencia__res,residence_code_candidate,incidence_core,RCBPA 2008-2014 | pipeline harmonization,documentary_historical_plus_internal,derived,Prioridad 2 en algoritmo jerarquico de residencia.,Catalogo local pendiente,none,incidence+quality,Mantener separado.
residencia,DEPTRES,residencia__deptres,residence_department_candidate,incidence_core,RCBPA 2008-2014 | pipeline harmonization,documentary_historical_plus_internal,derived,Prioridad 3 y validacion del algoritmo jerarquico.,Catalogo local pendiente,none,incidence+quality,Mantener separado.
residencia,PROVDIST|RES|DEPTRES,residencia_family,residence_analytic_area,incidence_core,RCBPA 2008-2014 | MASTER decision,documentary_historical_plus_internal,derived,Derivar residencia analitica por jerarquia PROVDIST > RES > DEPTRES y clasificar resident/nonresident/unknown.,Definicion exacta del area analitica si cambia a Metropolitana,residence_province_candidate,incidence+quality,La exclusion es analitica no fisica.
sexo,SEXO,sexo,sex_code_local,core_stratifier,semantic outputs,empirical_plus_internal,closed,"Conservar raw; mapear 1=male,2=female; otros=unknown.",none,none,all,Agregar unknown si aparece.
sexo,SEXO,sexo,sex_analytic,core_stratifier,semantic outputs,empirical_plus_internal,closed,male/female/unknown.,none,sex_code_local,all,Usar para incidencia mortalidad y calidad.
edad,EDAD,edad,age_numeric,core_stratifier,audit+harmonization,documentary_internal,closed,Convertir a numerico si es posible; mantener raw aparte si falla parseo.,Convencion exacta de unknown si aparece,none,all,No eliminar raw.
edad,EDAD,edad,age_group_iarc,core_stratifier,MASTER_AGE_GROUP_RULES,analytic_rule,closed,Asignar grupos quinquenales IARC.,none,age_numeric,incidence+mortality,Para tasas especificas y ajustadas.
edad,EDAD,edad,age_group_broad,reporting_stratifier,MASTER_AGE_GROUP_RULES,analytic_rule,closed,"Asignar 0-14,15-44,45-64,65+.",none,age_numeric,reporting+quality,No usar para ajuste.
seguimiento,FECDEF,fecha_muerte,date_of_death,follow_up_core,audit+harmonization,documentary_internal,closed,Parsear fecha; conservar raw y parsed.,Formatos mixtos,none,mortality+quality,Usar con ESTVIT.
seguimiento,FUC,fecha_ultimo_contacto,date_last_contact,follow_up_core,audit+harmonization,documentary_internal,closed,Parsear fecha; conservar raw y parsed.,Formatos mixtos,none,quality,Usar con ESTVIT.
diagnostico,FECDIAG,fecha_diagnostico,incident_year,incidence_core,audit+harmonization,documentary_internal,closed,Extraer anio de diagnostico a partir de FECDIAG parsed.,Formatos mixtos,none,incidence,Alinear con denominadores.
tumor,TOPO,topografia_icdo,topography_icdo,core_case_definition,audit+harmonization,documentary_internal,closed,Conservar raw ICD-O topography.,Sitios unknown a revisar luego,none,incidence+mortality+quality,Base para PSU candidate futuro.
tumor,MORF,morfologia_icdo,morphology_icdo,core_case_definition,audit+harmonization,documentary_internal,closed,Conservar raw morphology.,none,none,incidence+mortality+quality,Base para MV candidate.
multiple_primary,PMSEQ,multiple_primary__pmseq,multiple_primary_seq,supporting_qc,harmonization_summary,internal_rule,derived,Mantener separado.,Semantica final pendiente,none,quality_only,No colapsar con PMTOT/PMCOD.
multiple_primary,PMTOT,multiple_primary__pmtot,multiple_primary_total,supporting_qc,harmonization_summary,internal_rule,derived,Mantener separado.,Semantica final pendiente,none,quality_only,No colapsar con PMSEQ/PMCOD.
multiple_primary,PMCOD,multiple_primary__pmcod,multiple_primary_code,supporting_qc,harmonization_summary,internal_rule,derived,Mantener separado.,Semantica final pendiente,none,quality_only,No colapsar con PMSEQ/PMTOT.
mortalidad,FECDEF,fecha_muerte,death_year,mortality_core,audit+harmonization,documentary_internal,closed,Derivar anio de defuncion a partir de fecha_muerte parseada.,Formatos mixtos,fecha_muerte,mortality+quality,Usar para tasas anuales y del periodo.
mortalidad,FECDEF,fecha_muerte,death_event_official,mortality_core,audit+harmonization,documentary_internal,closed,Tratar fecha_muerte no vacia como evento oficial de muerte registrada.,Conflictos con ESTVIT se auditan pero no anulan la fecha,fecha_muerte,mortality+quality,Evidencia primaria oficial de mortalidad.
mortalidad,FECDEF|ESTVIT,fecha_muerte|estado_vital,death_event_combined,mortality_core,analytic audit rule,analytic_rule,closed,Construir una senal combinada de auditoria: fecha_muerte no vacia OR estado_vital=dead.,No usar para tasas oficiales salvo validacion futura,death_event_official,mortality+quality,Solo sensibilidad y medicion de perdida residual.
mortalidad,residence_analytic_area,residence_analytic_area,analytic_inclusion_mortality,mortality_core,MASTER decision + analytic rule,analytic_rule,closed,Incluir solo residentes provinciales con anio de defuncion utilizable en 2015-2022.,Muertes sin fecha utilizable pasan a unknown,analytic_inclusion_incidence,mortality+quality,Regla conservadora para mortalidad.
mortalidad,ESTVIT|FECDEF,estado_vital|fecha_muerte,flag_vital_date_conflict,mortality_core,analytic audit rule,analytic_rule,closed,Marcar alive con fecha_muerte o dead sin fecha_muerte como discordancia prioritaria.,Revisar si corresponde problema de captura o actualizacion,none,mortality+quality,La fecha de muerte prevalece para evento oficial cuando existe.
